Risk_Categories,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,declarationYear,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,disaster_count
High Risk,FM-5513-OR,5513,OR,FM,7/21/2024,2024,2024,Fire,BONEYARD FIRE,0,0,1,1,7/20/2024 12:00:00 AM,,,0,41,23,99023,Grant (County),24091,,2024072101,10,R,8/27/2024 6:22:15 PM,243
High Risk,FM-5512-OR,5512,OR,FM,7/18/2024,2024,2024,Fire,FALLS FIRE,0,0,1,1,7/18/2024 12:00:00 AM,,,0,41,23,99023,Grant (County),24090,,2024071901,10,R,8/27/2024 6:22:15 PM,243
Low Risk,FM-5512-OR,5512,OR,FM,7/18/2024,2024,2024,Fire,FALLS FIRE,0,0,1,1,7/18/2024 12:00:00 AM,,,0,41,25,99025,Harney (County),24090,,2024071901,10,R,8/27/2024 6:22:15 PM,8
Low Risk,FM-5511-OR,5511,OR,FM,7/18/2024,2024,2024,Fire,LONE ROCK FIRE,0,0,1,1,7/17/2024 12:00:00 AM,,,0,41,21,99021,Gilliam (County),24089,,2024071801,10,R,8/27/2024 6:22:15 PM,12
Low Risk,FM-5511-OR,5511,OR,FM,7/18/2024,2024,2024,Fire,LONE ROCK FIRE,0,0,1,1,7/17/2024 12:00:00 AM,,,0,41,49,99049,Morrow (County),24089,,2024071801,10,R,8/27/2024 6:22:15 PM,26
Moderate Risk,FM-5511-OR,5511,OR,FM,7/18/2024,2024,2024,Fire,LONE ROCK FIRE,0,0,1,1,7/17/2024 12:00:00 AM,,,0,41,69,99069,Wheeler (County),24089,,2024071801,10,R,8/27/2024 6:22:15 PM,59
Low Risk,FM-5510-ID,5510,ID,FM,7/16/2024,2024,2024,Fire,TEXAS FIRE,0,0,1,1,7/15/2024 12:00:00 AM,,,0,16,57,99057,Latah (County),24087,,2024071702,10,R,8/27/2024 6:22:15 PM,14
Low Risk,FM-5510-ID,5510,ID,FM,7/16/2024,2024,2024,Fire,TEXAS FIRE,0,0,1,1,7/15/2024 12:00:00 AM,,,0,16,69,99069,Nez Perce (County),24087,,2024071702,10,R,8/27/2024 6:22:15 PM,13
High Risk,FM-5509-NV,5509,NV,FM,7/16/2024,2024,2024,Fire,SPRING VALLEY FIRE,0,0,1,1,7/16/2024 12:00:00 AM,,,0,32,5,99005,Douglas (County),24086,,2024071701,9,R,8/27/2024 6:22:15 PM,225
Low Risk,FM-5508-AZ,5508,AZ,FM,7/13/2024,2024,2024,Fire,WATCH FIRE,0,0,1,1,7/10/2024 12:00:00 AM,,,0,4,0,62980,San Carlos Indian Reservation,24084,,2024071201,9,R,8/27/2024 6:22:15 PM,8
Low Risk,FM-5507-MT,5507,MT,FM,7/12/2024,2024,2024,Fire,HORSE GULCH FIRE,0,0,1,1,7/9/2024 12:00:00 AM,,,0,30,7,99007,Broadwater (County),24085,,2024071301,8,R,8/27/2024 6:22:15 PM,11
Low Risk,FM-5507-MT,5507,MT,FM,7/12/2024,2024,2024,Fire,HORSE GULCH FIRE,0,0,1,1,7/9/2024 12:00:00 AM,,,0,30,49,99049,Lewis and Clark (County),24085,,2024071301,8,R,8/27/2024 6:22:15 PM,16
Low Risk,FM-5506-OR,5506,OR,FM,7/11/2024,2024,2024,Fire,LARCH CREEK FIRE,0,0,1,1,7/10/2024 12:00:00 AM,,,0,41,65,99065,Wasco (County),24083,,2024071101,10,R,8/27/2024 6:22:15 PM,23
Low Risk,FM-5505-AZ,5505,AZ,FM,7/9/2024,2024,2024,Fire,SHAKE FIRE,0,0,1,1,7/9/2024 12:00:00 AM,,,0,4,21,99021,Pinal (County),24082,,2024071001,9,R,8/27/2024 6:22:15 PM,22
Low Risk,FM-5503-CA,5503,CA,FM,7/5/2024,2024,2024,Fire,FRENCH FIRE,0,0,1,1,7/4/2024 12:00:00 AM,,,0,6,43,99043,Mariposa (County),24079,,2024070501,9,R,8/27/2024 6:22:15 PM,24
Moderate Risk,FM-5502-CA,5502,CA,FM,7/2/2024,2024,2024,Fire,THOMPSON FIRE,0,0,1,1,7/2/2024 12:00:00 AM,,,0,6,7,99007,Butte (County),24077,,2024070301,9,R,8/27/2024 6:22:15 PM,66
Low Risk,FM-5501-AZ,5501,AZ,FM,6/28/2024,2024,2024,Fire,BOULDER VIEW FIRE,0,0,1,1,6/27/2024 12:00:00 AM,,,0,4,13,99013,Maricopa (County),24075,,2024062803,9,R,8/27/2024 6:22:15 PM,26
Low Risk,FM-5500-OR,5500,OR,FM,6/25/2024,2024,2024,Fire,DARLENE 3 FIRE,0,0,1,1,6/25/2024 12:00:00 AM,,,0,41,17,99017,Deschutes (County),24072,,2024062601,10,R,8/27/2024 6:22:15 PM,18
Low Risk,FM-5499-WA,5499,WA,FM,6/23/2024,2024,2024,Fire,SLIDE RANCH FIRE,0,0,1,1,6/22/2024 12:00:00 AM,,,0,53,0,79995,Yakama Reservation,24071,,2024062301,10,R,8/27/2024 6:22:15 PM,8
Low Risk,FM-5499-WA,5499,WA,FM,6/23/2024,2024,2024,Fire,SLIDE RANCH FIRE,0,0,1,1,6/22/2024 12:00:00 AM,,,0,53,77,99077,Yakima (County),24071,,2024062301,10,R,8/27/2024 6:22:15 PM,34
Low Risk,FM-5498-NM,5498,NM,FM,6/18/2024,2024,2024,Fire,SALT FIRE,0,0,1,1,6/17/2024 12:00:00 AM,,,0,35,0,47990,Mescalero Tribe,24068,,2024061802,6,R,8/27/2024 6:22:15 PM,8
Severe Risk,FM-5498-NM,5498,NM,FM,6/18/2024,2024,2024,Fire,SALT FIRE,0,0,1,1,6/17/2024 12:00:00 AM,,,0,35,27,99027,Lincoln (County),24068,,2024061802,6,R,8/27/2024 6:22:15 PM,444
Low Risk,FM-5498-NM,5498,NM,FM,6/18/2024,2024,2024,Fire,SALT FIRE,0,0,1,1,6/17/2024 12:00:00 AM,,,0,35,35,99035,Otero (County),24068,,2024061802,6,R,8/27/2024 6:22:15 PM,31
Low Risk,FM-5497-NM,5497,NM,FM,6/17/2024,2024,2024,Fire,SOUTH FORK FIRE,0,0,1,1,6/17/2024 12:00:00 AM,,,0,35,0,47990,Mescalero Tribe,24067,,2024061801,6,R,8/27/2024 6:22:15 PM,8
Severe Risk,FM-5497-NM,5497,NM,FM,6/17/2024,2024,2024,Fire,SOUTH FORK FIRE,0,0,1,1,6/17/2024 12:00:00 AM,,,0,35,27,99027,Lincoln (County),24067,,2024061801,6,R,8/27/2024 6:22:15 PM,444
Low Risk,FM-5497-NM,5497,NM,FM,6/17/2024,2024,2024,Fire,SOUTH FORK FIRE,0,0,1,1,6/17/2024 12:00:00 AM,,,0,35,35,99035,Otero (County),24067,,2024061801,6,R,8/27/2024 6:22:15 PM,31
Low Risk,FM-5496-AZ,5496,AZ,FM,6/12/2024,2024,2024,Fire,ROSE FIRE,0,0,1,1,6/12/2024 12:00:00 AM,,,0,4,13,99013,Maricopa (County),24065,,2024061301,9,R,8/27/2024 6:22:15 PM,26
Low Risk,FM-5495-NV,5495,NV,FM,6/12/2024,2024,2024,Fire,SULLIVAN FIRE,0,0,1,1,6/11/2024 12:00:00 AM,,,0,32,31,99031,Washoe (County),24063,,2024061202,9,R,8/27/2024 6:22:15 PM,46
Low Risk,FM-5494-NV,5494,NV,FM,6/11/2024,2024,2024,Fire,TRAIL FIRE,0,0,1,1,6/11/2024 12:00:00 AM,,,0,32,31,99031,Washoe (County),24062,,2024061201,9,R,8/27/2024 6:22:15 PM,46
Low Risk,FM-5493-AZ,5493,AZ,FM,5/29/2024,2024,2024,Fire,SIMMONS FIRE,0,0,1,1,5/28/2024 12:00:00 AM,,,0,4,21,99021,Pinal (County),24050,,2024052902,9,R,8/27/2024 6:22:15 PM,22
Severe Risk,FM-5492-NM,5492,NM,FM,5/26/2024,2024,2024,Fire,BLUE 2 FIRE,0,0,1,1,5/16/2024 12:00:00 AM,,,0,35,27,99027,Lincoln (County),24048,,2024052901,6,R,8/27/2024 6:22:15 PM,444
Low Risk,FM-5491-OK,5491,OK,FM,4/6/2024,2024,2024,Fire,57 FIRE,0,0,1,1,4/6/2024 12:00:00 AM,4/12/2024 12:00:00 AM,,0,40,153,99153,Woodward (County),24031,,2024040801,6,R,8/27/2024 6:22:15 PM,30
Moderate Risk,FM-5489-OK,5489,OK,FM,2/27/2024,2024,2024,Fire,CATESBY FIRE,0,0,1,1,2/27/2024 12:00:00 AM,3/20/2024 12:00:00 AM,,0,40,45,99045,Ellis (County),24012,,2024022803,6,R,8/27/2024 6:22:15 PM,66
Low Risk,FM-5488-TX,5488,TX,FM,2/27/2024,2024,2024,Fire,SMOKEHOUSE CREEK FIRE,0,0,1,1,2/27/2024 12:00:00 AM,3/16/2024 12:00:00 AM,,0,48,211,99211,Hemphill (County),24013,,2024022802,6,R,8/27/2024 6:22:15 PM,14
Low Risk,FM-5488-TX,5488,TX,FM,2/27/2024,2024,2024,Fire,SMOKEHOUSE CREEK FIRE,0,0,1,1,2/27/2024 12:00:00 AM,3/16/2024 12:00:00 AM,,0,48,233,99233,Hutchinson (County),24013,,2024022802,6,R,8/27/2024 6:22:15 PM,42
Low Risk,FM-5488-TX,5488,TX,FM,2/27/2024,2024,2024,Fire,SMOKEHOUSE CREEK FIRE,0,0,1,1,2/27/2024 12:00:00 AM,3/16/2024 12:00:00 AM,,0,48,393,99393,Roberts (County),24013,,2024022802,6,R,8/27/2024 6:22:15 PM,38
Moderate Risk,FM-5487-TX,5487,TX,FM,2/27/2024,2024,2024,Fire,WINDY DEUCE FIRE,0,0,1,1,2/27/2024 12:00:00 AM,3/16/2024 12:00:00 AM,,0,48,341,99341,Moore (County),24014,,2024022801,6,R,8/27/2024 6:22:15 PM,51
Low Risk,FM-5486-LA,5486,LA,FM,8/30/2023,2023,2023,Fire,HIGHWAY 113 FIRE,0,0,1,1,8/30/2023 12:00:00 AM,10/24/2023 12:00:00 AM,,0,22,79,99079,Rapides (Parish),23114,,2023083101,6,R,8/27/2024 6:22:15 PM,48
Low Risk,FM-5486-LA,5486,LA,FM,8/30/2023,2023,2023,Fire,HIGHWAY 113 FIRE,0,0,1,1,8/30/2023 12:00:00 AM,10/24/2023 12:00:00 AM,,0,22,115,99115,Vernon (Parish),23114,,2023083101,6,R,8/27/2024 6:22:15 PM,38
Low Risk,FM-5485-LA,5485,LA,FM,8/27/2023,2023,2023,Fire,LIONS CAMP ROAD FIRE,0,0,1,1,8/26/2023 12:00:00 AM,10/4/2023 12:00:00 AM,,0,22,115,99115,Vernon (Parish),23110,,2023082803,6,R,8/27/2024 6:22:15 PM,38
Low Risk,FM-5484-LA,5484,LA,FM,8/25/2023,2023,2023,Fire,IDA FIRE,0,0,1,1,8/25/2023 12:00:00 AM,10/12/2023 12:00:00 AM,,0,22,115,99115,Vernon (Parish),23109,,2023082802,6,R,8/27/2024 6:22:15 PM,38
Severe Risk,FM-5483-OR,5483,OR,FM,8/24/2023,2023,2023,Fire,LIBERTY FIRE,0,0,1,1,8/24/2023 12:00:00 AM,,,0,41,47,99047,Marion (County),23107,,2023082401,10,R,8/27/2024 6:22:15 PM,362
Low Risk,FM-5482-LA,5482,LA,FM,8/23/2023,2023,2023,Fire,TIGER ISLAND FIRE,0,0,1,1,8/23/2023 12:00:00 AM,10/25/2023 12:00:00 AM,,0,22,11,99011,Beauregard (Parish),23106,,2023082402,6,R,8/27/2024 6:22:15 PM,42
Low Risk,FM-5481-WA,5481,WA,FM,8/19/2023,2023,2023,Fire,OREGON FIRE,0,0,1,1,8/19/2023 12:00:00 AM,,,0,53,63,99063,Spokane (County),23103,,2023081903,10,R,8/27/2024 6:22:15 PM,28
Low Risk,FM-5480-MT,5480,MT,FM,8/19/2023,2023,2023,Fire,RIVER ROAD EAST FIRE,0,0,1,1,8/18/2023 12:00:00 AM,9/5/2023 12:00:00 AM,,0,30,89,99089,Sanders (County),23100,,2023081902,8,R,8/27/2024 6:22:15 PM,14
Low Risk,FM-5479-WA,5479,WA,FM,8/18/2023,2023,2023,Fire,GRAY FIRE,0,0,1,1,8/18/2023 12:00:00 AM,,,0,53,63,99063,Spokane (County),23102,,2023081901,10,R,8/27/2024 6:22:15 PM,28
Low Risk,FM-5478-HI,5478,HI,FM,8/9/2023,2023,2023,Fire,MAUNA KEA BEACH FIRE,0,0,1,1,8/8/2023 12:00:00 AM,,12/27/2023 12:00:00 AM,0,15,1,99001,Hawaii (County),23091,,2023081001,9,R,8/27/2024 6:22:15 PM,29
Low Risk,FM-5477-HI,5477,HI,FM,8/9/2023,2023,2023,Fire,PULEHU FIRE,0,0,1,1,8/9/2023 12:00:00 AM,,12/27/2023 12:00:00 AM,0,15,9,99009,Maui (County),23090,,2023080904,9,R,8/27/2024 6:22:15 PM,28
Low Risk,FM-5476-HI,5476,HI,FM,8/9/2023,2023,2023,Fire,UPCOUNTRY FIRE,0,0,1,1,8/9/2023 12:00:00 AM,,12/27/2023 12:00:00 AM,0,15,9,99009,Maui (County),23089,,2023080903,9,R,8/27/2024 6:22:15 PM,28
Low Risk,FM-5475-HI,5475,HI,FM,8/9/2023,2023,2023,Fire,LAHAINA FIRE,0,0,1,1,8/9/2023 12:00:00 AM,,12/27/2023 12:00:00 AM,0,15,9,99009,Maui (County),23087,,2023080902,9,R,8/27/2024 6:22:15 PM,28
Low Risk,FM-5474-HI,5474,HI,FM,8/8/2023,2023,2023,Fire,KOHALA RANCH FIRE,0,0,1,1,8/8/2023 12:00:00 AM,,,0,15,1,99001,Hawaii (County),23088,,2023080901,9,R,8/27/2024 6:22:15 PM,29
Low Risk,FM-5473-AK,5473,AK,FM,8/3/2023,2023,2023,Fire,LOST HORSE CREEK FIRE,0,0,1,1,8/2/2023 12:00:00 AM,,,0,2,90,99090,Fairbanks North Star (Borough),23084,,2023080401,10,R,8/27/2024 6:22:15 PM,14
Low Risk,FM-5472-WA,5472,WA,FM,7/30/2023,2023,2023,Fire,EAGLE BLUFF FIRE,0,0,1,1,7/29/2023 12:00:00 AM,,,0,53,47,99047,Okanogan (County),23080,,2023073001,10,R,8/27/2024 6:22:15 PM,39
Low Risk,FM-5471-OR,5471,OR,FM,7/23/2023,2023,2023,Fire,GOLDEN FIRE,0,0,1,1,7/22/2023 12:00:00 AM,,,0,41,35,99035,Klamath (County),23077,,2023072401,10,R,8/27/2024 6:22:15 PM,17
Low Risk,FM-5470-WA,5470,WA,FM,7/23/2023,2023,2023,Fire,NEWELL ROAD FIRE,0,0,1,1,7/21/2023 12:00:00 AM,,,0,53,39,99039,Klickitat (County),23074,,2023072301,10,R,8/27/2024 6:22:15 PM,27
High Risk,FM-5469-WA,5469,WA,FM,7/11/2023,2023,2023,Fire,BAIRD SPRINGS FIRE,0,0,1,1,7/10/2023 12:00:00 AM,,,0,53,25,99025,Grant (County),23071,,2023071101,10,R,8/27/2024 6:22:15 PM,243
Moderate Risk,FM-5468-WA,5468,WA,FM,7/5/2023,2023,2023,Fire,MCEWAN FIRE,0,0,1,1,7/4/2023 12:00:00 AM,,,0,53,45,99045,Mason (County),23065,,2023070501,10,R,8/27/2024 6:22:15 PM,115
Low Risk,FM-5467-WA,5467,WA,FM,7/3/2023,2023,2023,Fire,TUNNEL FIVE FIRE,0,0,1,1,7/2/2023 12:00:00 AM,,,0,53,59,99059,Skamania (County),23064,,2023070301,10,R,8/27/2024 6:22:15 PM,28
Low Risk,FM-5466-AZ,5466,AZ,FM,6/28/2023,2023,2023,Fire,DIAMOND FIRE,0,0,1,1,6/27/2023 12:00:00 AM,6/30/2023 12:00:00 AM,,0,4,13,99013,Maricopa (County),23061,,2023062801,9,R,8/27/2024 6:22:15 PM,26
Low Risk,FM-5465-NM,5465,NM,FM,5/10/2023,2023,2023,Fire,LAS TUSAS FIRE,0,0,1,1,5/10/2023 12:00:00 AM,5/22/2023 12:00:00 AM,,0,35,33,99033,Mora (County),23050,,2023051101,6,R,8/27/2024 6:22:15 PM,20
Low Risk,FM-5465-NM,5465,NM,FM,5/10/2023,2023,2023,Fire,LAS TUSAS FIRE,0,0,1,1,5/10/2023 12:00:00 AM,5/22/2023 12:00:00 AM,,0,35,47,99047,San Miguel (County),23050,,2023051101,6,R,8/27/2024 6:22:15 PM,30
Low Risk,FM-5464-RI,5464,RI,FM,4/14/2023,2023,2023,Fire,QUEENS RIVER FIRE,0,0,1,1,4/14/2023 12:00:00 AM,4/16/2023 12:00:00 AM,,0,44,9,99009,"Washington (County)(in (P)MSA 5520,6480)",23042,,2023041701,1,R,8/27/2024 6:22:15 PM,25
Severe Risk,FM-5463-KS,5463,KS,FM,4/13/2023,2023,2023,Fire,HADDAM FIRE,0,0,1,1,4/13/2023 12:00:00 AM,4/16/2023 12:00:00 AM,,0,20,201,99201,Washington (County),23038,,2023041301,7,R,8/27/2024 6:22:15 PM,572
High Risk,FM-5462-NE,5462,NE,FM,4/9/2023,2023,2023,Fire,WACONDA-BEAVER LAKE FIRE COMPLEX,0,0,1,1,4/8/2023 12:00:00 AM,4/11/2023 12:00:00 AM,,0,31,25,99025,Cass (County),23036,,2023041001,7,R,8/27/2024 6:22:15 PM,186
Low Risk,FM-5461-NM,5461,NM,FM,4/2/2023,2023,2023,Fire,"ECHO RIDGE FIRE, NM FMAG",0,0,1,1,4/2/2023 12:00:00 AM,4/7/2023 12:00:00 AM,,0,35,57,99057,Torrance (County),23034,,2023040304,6,R,8/27/2024 6:22:15 PM,14
Severe Risk,FM-5460-OK,5460,OK,FM,3/31/2023,2023,2023,Fire,"GAP ROAD FIRE, OKLAHOMA FMAG",0,0,1,1,3/31/2023 12:00:00 AM,4/6/2023 12:00:00 AM,,0,40,147,99147,Washington (County),23032,,2023040302,6,"R,Z",8/27/2024 6:22:15 PM,572
Low Risk,FM-5459-OK,5459,OK,FM,3/31/2023,2023,2023,Fire,"HEFNER FIRE, OKLAHOMA FMAG",0,0,1,1,3/31/2023 12:00:00 AM,4/3/2023 12:00:00 AM,,0,40,109,99109,Oklahoma (County),23033,,2023040303,6,R,8/27/2024 6:22:15 PM,48
High Risk,FM-5458-OK,5458,OK,FM,3/31/2023,2023,2023,Fire,"SIMPSON FIRE, OKLAHOMA FMAG ",0,0,1,1,3/31/2023 12:00:00 AM,4/6/2023 12:00:00 AM,,0,40,83,99083,Logan (County),23031,,2023040301,6,"R,Z",8/27/2024 6:22:15 PM,202
Low Risk,FM-5457-OR,5457,OR,FM,1/27/2023,2023,2023,Fire,CEDAR CREEK FIRE,0,0,1,1,9/9/2022 12:00:00 AM,9/16/2022 12:00:00 AM,,0,41,39,99039,Lane (County),23009,,2023012701,10,R,8/27/2024 6:22:15 PM,34
High Risk,FM-5456-WA,5456,WA,FM,10/17/2022,2022,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,10/16/2022 12:00:00 AM,10/22/2022 12:00:00 AM,,0,53,11,99011,Clark (County),22097,,2022101701,10,,8/27/2024 6:22:15 PM,198
Low Risk,FM-5456-WA,5456,WA,FM,10/17/2022,2022,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,10/16/2022 12:00:00 AM,10/22/2022 12:00:00 AM,,0,53,59,99059,Skamania (County),22097,,2022101701,10,,8/27/2024 6:22:15 PM,28
Low Risk,FM-5455-WA,5455,WA,FM,9/10/2022,2022,2022,Fire,BOLT CREEK FIRE,0,0,1,1,9/10/2022 12:00:00 AM,10/24/2022 12:00:00 AM,,0,53,33,99033,King (County),22083,,2022091102,10,,8/27/2024 6:22:15 PM,50
Low Risk,FM-5455-WA,5455,WA,FM,9/10/2022,2022,2022,Fire,BOLT CREEK FIRE,0,0,1,1,9/10/2022 12:00:00 AM,10/24/2022 12:00:00 AM,,0,53,61,99061,Snohomish (County),22083,,2022091102,10,,8/27/2024 6:22:15 PM,35
Low Risk,FM-5454-OR,5454,OR,FM,9/10/2022,2022,2022,Fire,MILO MCIVER FIRE,0,0,1,1,9/10/2022 12:00:00 AM,9/12/2022 12:00:00 AM,,0,41,5,99005,Clackamas (County),22082,,2022091101,10,,8/27/2024 6:22:15 PM,22
Low Risk,FM-5453-CA,5453,CA,FM,9/9/2022,2022,2022,Fire,MOSQUITO FIRE,0,0,1,1,9/9/2022 12:00:00 AM,9/26/2022 12:00:00 AM,,0,6,17,99017,El Dorado (County),22079,,2022090901,9,,8/27/2024 6:22:15 PM,27
Low Risk,FM-5453-CA,5453,CA,FM,9/9/2022,2022,2022,Fire,MOSQUITO FIRE,0,0,1,1,9/9/2022 12:00:00 AM,9/26/2022 12:00:00 AM,,0,6,61,99061,Placer (County),22079,,2022090901,9,,8/27/2024 6:22:15 PM,26
Moderate Risk,FM-5452-ID,5452,ID,FM,9/5/2022,2022,2022,Fire,ROSS FORK FIRE,0,0,1,1,9/5/2022 12:00:00 AM,9/16/2022 12:00:00 AM,,0,16,13,99013,Blaine (County),22078,,2022090701,10,,8/27/2024 6:22:15 PM,67
Moderate Risk,FM-5451-CA,5451,CA,FM,9/6/2022,2022,2022,Fire,FAIRVIEW FIRE,0,0,1,1,9/5/2022 12:00:00 AM,9/14/2022 12:00:00 AM,,0,6,65,99065,Riverside (County),22077,,2022090601,9,,8/27/2024 6:22:15 PM,65
Low Risk,FM-5450-CA,5450,CA,FM,9/2/2022,2022,2022,Fire,MILL FIRE,0,0,1,1,9/2/2022 12:00:00 AM,9/9/2022 12:00:00 AM,,0,6,93,99093,Siskiyou (County),22076,,2022090301,9,,8/27/2024 6:22:15 PM,23
