Risk_Categories,state,designatedArea,disaster_count,Coastal Storm,Dam/Levee Break,Earthquake,Fire,Flood,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm,Snowstorm,Straight-Line Winds,Tornado,Tropical Storm,Volcanic Eruption,Winter Storm,total_incidents,discrepancy
High Risk,FL,Polk (County),15,0,0,0,1,0,10,0,0,0,0,0,0,0,4,0,0,15,0
High Risk,FL,Putnam (County),19,0,0,0,0,0,14,0,0,0,1,0,0,0,4,0,0,19,0
High Risk,GA,Calhoun (County),7,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,7,0
High Risk,GA,Carroll (County),7,0,0,0,0,0,3,0,0,2,1,0,0,0,1,0,0,7,0
High Risk,GA,Cherokee (County),5,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,5,0
High Risk,GA,Columbia (County),7,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,7,0
High Risk,GA,Crawford (County),7,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,7,0
High Risk,GA,Douglas (County),6,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,6,0
High Risk,GA,Fayette (County),6,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,6,0
High Risk,GA,Greene (County),7,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,7,0
High Risk,GA,Hancock (County),8,0,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,8,0
High Risk,GA,Henry (County),5,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,5,0
High Risk,GA,Jasper (County),8,0,0,0,0,0,4,0,0,2,1,0,0,0,1,0,0,8,0
High Risk,GA,Johnson (County),9,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,9,0
High Risk,GA,Lee (County),5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,5,0
High Risk,GA,Morgan (County),7,0,0,0,0,0,3,0,0,2,1,0,0,0,1,0,0,7,0
High Risk,GA,Pike (County),7,0,0,0,0,0,3,0,0,2,1,0,0,0,1,0,0,7,0
High Risk,GA,Polk (County),4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,4,0
High Risk,GA,Putnam (County),8,0,0,0,0,0,5,0,0,1,0,0,0,1,1,0,0,8,0
High Risk,GA,Randolph (County),6,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,6,0
High Risk,GA,Warren (County),7,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,7,0
High Risk,GA,Wayne (County),11,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,11,0
High Risk,IA,Adams (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,IA,Benton (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,IA,Butler (County),6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0
High Risk,IA,Calhoun (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,IA,Carroll (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IA,Cass (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,IA,Cherokee (County),6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,6,0
High Risk,IA,Crawford (County),3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0
High Risk,IA,Fayette (County),5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,5,0
High Risk,IA,Greene (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,IA,Hamilton (County),5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,5,0
High Risk,IA,Hancock (County),5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,5,0
High Risk,IA,Harrison (County),4,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,4,0
High Risk,IA,Henry (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IA,Jasper (County),4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,IA,Johnson (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,IA,Lee (County),5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,5,0
High Risk,IA,Marshall (County),4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,IA,Polk (County),5,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,5,0
High Risk,IA,Scott (County),4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0
High Risk,IA,Shelby (County),4,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,4,0
High Risk,IA,Warren (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,IA,Wayne (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,ID,Adams (County),2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
High Risk,ID,Clark (County),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,ID,Lewis (County),3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0
High Risk,IL,Adams (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IL,Calhoun (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,IL,Carroll (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IL,Cass (County),2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
High Risk,IL,Clark (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IL,Cumberland (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IL,Douglas (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IL,Fayette (County),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
High Risk,IL,Greene (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IL,Hancock (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,IL,Henry (County),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
High Risk,IL,Knox (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IL,Lee (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IL,Logan (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IL,Mercer (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IL,Morgan (County),3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0
High Risk,IL,Pike (County),3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0
High Risk,IL,Randolph (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IL,Scott (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,IL,Shelby (County),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
High Risk,IL,Warren (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IN,Benton (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,IN,Brown (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IN,Carroll (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IN,Clark (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IN,Crawford (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IN,Grant (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IN,Hamilton (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IN,Harrison (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IN,Jasper (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,IN,Johnson (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,IN,Lake (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,IN,Marshall (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IN,Morgan (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,IN,Perry (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,IN,Putnam (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,IN,Warren (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,KS,Brown (County),3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
High Risk,KS,Butler (County),4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0
High Risk,KS,Cherokee (County),5,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,0
High Risk,KS,Clark (County),6,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,6,0
High Risk,KS,Crawford (County),3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0
High Risk,KS,Douglas (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,KS,Grant (County),2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
High Risk,KS,Hamilton (County),3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0
High Risk,KS,Johnson (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,KS,Logan (County),3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0
High Risk,KS,Marshall (County),5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0
High Risk,KS,Scott (County),3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0
High Risk,KY,Butler (County),8,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,8,0
High Risk,KY,Carroll (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,KY,Clark (County),6,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,6,0
High Risk,KY,Cumberland (County),6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,6,0
High Risk,KY,Fayette (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,KY,Grant (County),4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0
High Risk,KY,Hancock (County),4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0
High Risk,KY,Harrison (County),3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0
High Risk,KY,Henry (County),5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,5,0
High Risk,KY,Johnson (County),14,0,0,0,0,6,0,0,0,1,6,0,0,0,1,0,0,14,0
High Risk,KY,Knox (County),8,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,8,0
High Risk,KY,Lawrence (County),13,0,0,0,0,6,0,0,0,1,4,1,0,0,1,0,0,13,0
High Risk,KY,Lee (County),13,0,0,0,0,6,0,0,0,1,4,1,0,0,1,0,0,13,0
High Risk,KY,Lewis (County),7,0,0,0,0,2,0,0,0,1,2,1,0,0,1,0,0,7,0
High Risk,KY,Logan (County),3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0
High Risk,KY,Marshall (County),8,0,0,0,0,1,0,0,0,0,4,1,0,2,0,0,0,8,0
High Risk,KY,Mercer (County),2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
High Risk,KY,Morgan (County),10,0,0,0,0,4,0,0,0,1,3,1,0,0,1,0,0,10,0
High Risk,KY,Perry (County),11,0,0,0,0,5,0,0,0,1,4,1,0,0,0,0,0,11,0
High Risk,KY,Pike (County),11,0,0,0,1,5,0,0,0,0,4,1,0,0,0,0,0,11,0
High Risk,KY,Scott (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,KY,Shelby (County),3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0
High Risk,KY,Warren (County),5,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,5,0
High Risk,KY,Wayne (County),5,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,5,0
High Risk,MD,Carroll (County),2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
High Risk,ME,Cumberland (County),5,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,5,0
High Risk,ME,Hancock (County),4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,ME,Knox (County),6,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,6,0
High Risk,MI,Wayne (County),3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0
High Risk,MN,Brown (County),4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
High Risk,MN,Cass (County),4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0
High Risk,MN,Douglas (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,MN,Grant (County),4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0
High Risk,MN,Lake (County),3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
High Risk,MN,Marshall (County),4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
High Risk,MN,Polk (County),3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
High Risk,MN,Scott (County),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
High Risk,MO,Benton (County),3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
High Risk,MO,Butler (County),4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0
High Risk,MO,Carroll (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,MO,Clark (County),4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,MO,Crawford (County),6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0
High Risk,MO,Douglas (County),7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,7,0
High Risk,MO,Greene (County),5,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0
High Risk,MO,Harrison (County),3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
High Risk,MO,Henry (County),4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
High Risk,MO,Jasper (County),4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0
High Risk,MO,Johnson (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,MO,Knox (County),4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
High Risk,MO,Lawrence (County),3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
High Risk,MO,Lewis (County),4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,MO,Mercer (County),2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
High Risk,MO,Morgan (County),5,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0
High Risk,MO,Perry (County),7,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,7,0
High Risk,MO,Pike (County),5,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0
High Risk,MO,Polk (County),4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0
High Risk,MO,Putnam (County),3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
High Risk,MO,Randolph (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,MO,Scott (County),7,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,7,0
High Risk,MO,Shelby (County),4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
High Risk,MO,Warren (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,MO,Wayne (County),6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,6,0
High Risk,MS,Adams (County),8,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,8,0
High Risk,MS,Benton (County),3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0
High Risk,MS,Calhoun (County),5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,5,0
High Risk,MS,Carroll (County),7,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,7,0
High Risk,MS,Greene (County),10,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,10,0
High Risk,MS,Hancock (County),10,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,10,0
High Risk,MS,Harrison (County),9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0
High Risk,MS,Jasper (County),7,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,7,0
High Risk,MS,Lawrence (County),10,0,0,0,0,1,5,0,0,1,3,0,0,0,0,0,0,10,0
High Risk,MS,Lee (County),5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,5,0
High Risk,MS,Marshall (County),3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0
High Risk,MS,Perry (County),10,0,0,0,0,1,6,0,0,0,2,0,0,1,0,0,0,10,0
High Risk,MS,Pike (County),7,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,7,0
High Risk,MS,Scott (County),6,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,6,0
High Risk,MS,Warren (County),9,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,9,0
High Risk,MS,Wayne (County),11,0,0,0,0,1,6,0,0,0,4,0,0,0,0,0,0,11,0
High Risk,MT,Lake (County),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
High Risk,NC,Cherokee (County),7,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,7,0
High Risk,NC,Cumberland (County),9,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,9,0
High Risk,NC,Greene (County),10,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,10,0
High Risk,NC,Lee (County),10,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,10,0
High Risk,NC,Orange (County),10,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,0,10,0
High Risk,NC,Polk (County),8,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,8,0
High Risk,NC,Randolph (County),11,0,0,0,0,0,7,0,0,1,1,0,0,0,2,0,0,11,0
High Risk,NC,Warren (County),8,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,8,0
High Risk,NC,Wayne (County),11,0,0,0,0,0,8,0,0,0,1,0,0,0,2,0,0,11,0
High Risk,ND,Adams (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,ND,Cass (County),3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0
High Risk,ND,Grant (County),4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,4,0
High Risk,ND,Logan (County),5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,5,0
High Risk,ND,Mercer (County),2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
High Risk,NE,Adams (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,NE,Brown (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,NE,Butler (County),4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,NE,Cass (County),8,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,8,0
High Risk,NE,Douglas (County),7,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,7,0
High Risk,NE,Grant (County),2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,NE,Hamilton (County),6,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6,0
High Risk,NE,Johnson (County),3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,NE,Knox (County),3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0
High Risk,NE,Logan (County),4,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4,0
High Risk,NE,Polk (County),6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,6,0
High Risk,NE,Wayne (County),6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,6,0
High Risk,NH,Carroll (County),7,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,7,0
High Risk,NJ,Cumberland (County),4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4,0
High Risk,NJ,Mercer (County),3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0
High Risk,NJ,Warren (County),5,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,5,0
High Risk,NV,Douglas (County),10,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,10,0
High Risk,NY,Columbia (County),2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0
High Risk,NY,Greene (County),2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0
High Risk,NY,Hamilton (County),4,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4,0
High Risk,NY,Lewis (County),7,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,1,7,0
High Risk,NY,Orange (County),5,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,5,0
High Risk,NY,Putnam (County),5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0
High Risk,NY,Warren (County),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
High Risk,NY,Wayne (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,OH,Adams (County),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
High Risk,OH,Brown (County),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
